10.10.10.154, "00:22:4D:83:CB:08 (Mitac International)", "general purpose", "Linux 3.2 - 4.0", "OS: Linux; CPE: cpe:/o:linux:linux_kernel"
10.10.10.45, "22:CB:2B:31:BB:62 (Unknown)", "general purpose", "Linux 3.2 - 4.0", "OS: Unix"
