10.0.0.1,4A:1D:70:CD:54:A3,general purpose,Linux 2.6.X,Linux 2.6.32 - 2.6.39
10.0.0.17,D4:85:64:A3:9A:27,general purpose,Linux 3.X|4.X,Linux 3.2 - 4.0
10.0.0.143,E4:98:D6:F0:40:BD,"","",""
10.0.0.254,00:05:04:03:02:01,general purpose,Linux 2.6.X|3.X,Linux 2.6.38 - 3.0
